author,product_name,product_price,product_reviews,product_url
Alex J. Gutman,"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",24,209,https://m.media-amazon.com/images/I/51dY5RkvW6S._AC_UL320_.jpg
,The Four Agreements (Illustrated Edition) A Practical Guide to Personal Freedom,27,"88,941",https://m.media-amazon.com/images/I/91ryfmRierL._AC_UL320_.jpg
Hal Harvey,,28,18,https://m.media-amazon.com/images/I/716QwZRD3eL._AC_UY218_.jpg
Ryan O'Hanlon,Net Gains: Inside the Beautiful Game’s Analytics Revolution,27,27,https://m.media-amazon.com/images/I/61k00WsIsjL._AC_UL320_.jpg
Stanley Chiang,,26,118,https://m.media-amazon.com/images/I/61AzwN+jywL._AC_UY218_.jpg
Wayne Winston,Microsoft Excel Data Analysis and Business Modeling (Business Skills),10,423,https://m.media-amazon.com/images/I/81FoeAfUIXL._AC_UL320_.jpg
Nick Singh,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",38,695,https://m.media-amazon.com/images/I/61Yd6YXufGL._AC_UL320_.jpg
Matt Goldwasser,SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,27,234,https://m.media-amazon.com/images/I/719zBDnZtXL._AC_UL320_.jpg
Yoon Hyup Hwang,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,45,68,https://m.media-amazon.com/images/I/719TiXxn3rL._AC_UL320_.jpg
,A Mind For Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),9,"4,063",https://m.media-amazon.com/images/I/81xk6jafTJL._AC_UL320_.jpg
Dursun Delen,"Business Intelligence, Analytics, and Data Science: A Managerial Perspective",33,280,https://m.media-amazon.com/images/I/91Zx6bc7y2L._AC_UL320_.jpg
,,17,"7,054",https://m.media-amazon.com/images/I/61C-T00vFTS._AC_UY218_.jpg
,,,null,
,,,null,
Adam Morton,Mastering Snowflake Solutions: Supporting Analytics and Data Sharing,40,6,https://m.media-amazon.com/images/I/61AMA74AhOL._AC_UL320_.jpg
Fred Trotter,"Hacking Healthcare: A Guide to Standards, Workflows, and Meaningful Use",19,134,https://m.media-amazon.com/images/I/51gwwTNzgFL._AC_UL320_.jpg
John L Taveras,R for Excel Users: An Introduction to R for Excel Analysts,18,117,https://m.media-amazon.com/images/I/41ssO2NPfgL._AC_UL320_.jpg
Winston Chang,,31,82,https://m.media-amazon.com/images/I/91CkFfr0fHL._AC_UY218_.jpg
,,15,611,https://m.media-amazon.com/images/I/61PR31JQm-L._AC_UY218_.jpg
Martin Lindstrom,Small Data: The Tiny Clues That Uncover Huge Trends,6,347,https://m.media-amazon.com/images/I/71nS2IBkWlL._AC_UL320_.jpg
,"The Data Warehouse ETL Toolkit: Practical Techniques for Extracting, Cleaning, Conforming, and Delivering Data",45,158,https://m.media-amazon.com/images/I/51TBQFxVnxL._AC_UL320_.jpg
,,,null,
,How Colleges Use Data (Higher Ed Leadership Essentials),28,329,https://m.media-amazon.com/images/I/31vPg3JmeKL._AC_UL320_.jpg
Neil Hoyne,Converted: The Data-Driven Way to Win Customers' Hearts,18,148,https://m.media-amazon.com/images/I/71yjcmwGqkL._AC_UL320_.jpg
George Mount,Data and Analytics for Instructional Designers,32,61,https://m.media-amazon.com/images/I/7121QILhoQL._AC_UL320_.jpg
(17 used & new offers),,30,1,https://m.media-amazon.com/images/I/61Keyiy8XBL._AC_UY218_.jpg
,OCA Oracle Database SQL Exam Guide (Exam 1Z0-071) (Oracle Press),37,183,https://m.media-amazon.com/images/I/41hwkIq4TuL._AC_UL320_.jpg
